Cx,Cy,AMx,SMx,AMy,SMy
1915,778,58.2107064911331,0.465101171093833,39.1075725322868,0.413614911624421
1920,1045,2.3730478515625,1.59192497378078,21.0005447503647,1.52715098361476
1920,1330,14.9336294222318,0.38146700822384,52.294403848839,0.367806544026349
1710,1324,-6.97020044598962,4.98233553505764,-20.5645008081772,0.428064586883867
1513,1324,-7.47947579514869,0.448260122019656,34.1518198714138,0.390158755158277
1246,1324,-28.0980773773439,0.414337691074977,43.4948121421877,0.374947686590333
982,1324,0.3072236328125,0.360797799273326,27.5951232644273,0.347290257602494
846,1324,-47.3681481185941,0.36251074436273,-26.358193586719,0.360107619627928
782,1125,-38.3790846068752,0.361468419693761,-19.624740058073,0.346742483778738
722,1277,24.6042096603235,0.35731376431111,-9.27462044749745,0.347524409117136
729,1376,26.0035617513545,0.49476381327362,-22.3811248233855,0.818927689400803
1322,376,27.1746281582815,0.377899621296515,-45.3552359729689,0.360934408034198
1322,1595,-55.6406596298962,0.47494602908015,-79.9675491070837,0.343225274205645
1516,2004,-0.701995117187499,0.350501151090795,-24.8735021665107,0.332289096995645
1649,2004,-22.4698047010596,0.367702972315927,-108.782158987789,0.359115650686716
1782,2004,-19.4246023613021,0.380399052680129,42.3106246500001,0.360674338488009
1915,2004,-20.3176609506772,0.349022924406498,-59.5111596332292,0.346165048905995
2413,1900,-8.99341795025036,0.380540719708489,-49.880318614988,0.348048477302547
2836,1797,50.4607953705214,0.341230086726617,-22.8981013871355,0.337320126870653
2700,1797,30.530721241604,0.417227924259667,-7.33459404156237,0.387983302713164
2700,1626,-44.4447125384378,0.386935685296521,19.4017459203126,0.353766862169082
2483,1626,-80.0138098796666,0.352863362000528,-24.779687390824,0.335411306401411
2483,1438,-73.7331784554133,0.330431527973847,-4.06891622340426,0.330998562157918
2169,1377,-67.454891893594,0.345282832195411,45.5533541460419,0.333607187034071
2049,1373,-45.642750616042,0.352888861705322,1.4211708984375,0.340360215672952
2177,1053,-70.4886299548914,0.349758933103655,25.739125715804,0.32888674177715
2177,778,-76.7558479022399,0.335423684684537,27.5076633022399,0.328174040708323
2312,827,-12.1484263565355,0.403780593496443,75.2845003368121,0.326079027995412
2186,827,88.2033274252087,0.353299699282353,-40.796468376198,0.336647111931244
2312,1243,-64.6959332046724,0.348969650193064,-30.9939702193252,0.354053393210605
2186,1243,-77.6913166643231,0.348055608722162,66.7259748972397,0.352690476893289
