Timestamp,X,Y,Z,Cx,Cy
28-Jun-2024 17:04:25.286,39.84375,-13.9125,-37.931252,1915,778
28-Jun-2024 17:04:25.386,39.84375,-14.062501,-38.025002,1915,778
28-Jun-2024 17:04:25.486,39.9375,-14.156251,-38.025002,1915,778
28-Jun-2024 17:04:25.586,39.993752,-14.062501,-37.931252,1915,778
28-Jun-2024 17:04:25.686,39.993752,-13.9875,-37.837502,1915,778
28-Jun-2024 17:04:25.786,40.106251,-14.00625,-37.78125,1915,778
28-Jun-2024 17:04:25.886,40.087502,-13.9125,-37.800003,1915,778
28-Jun-2024 17:04:25.986,40.106251,-13.89375,-37.837502,1915,778
28-Jun-2024 17:04:26.086,40.03125,-13.856251,-37.893753,1915,778
28-Jun-2024 17:04:26.186,39.975002,-13.743751,-37.837502,1915,778
28-Jun-2024 17:04:26.286,39.881252,-13.668751,-37.856251,1915,778
28-Jun-2024 17:04:26.386,39.806252,-13.6125,-37.893753,1915,778
28-Jun-2024 17:04:26.486,39.881252,-13.650001,-38.0625,1915,778
28-Jun-2024 17:04:26.586,39.712502,-13.481251,-38.118752,1915,778
28-Jun-2024 17:04:26.686,39.731251,-13.462501,-38.137501,1915,778
28-Jun-2024 17:04:26.786,39.731251,-13.33125,-38.137501,1915,778
28-Jun-2024 17:04:26.886,39.84375,-13.25625,-38.175003,1915,778
28-Jun-2024 17:04:26.986,39.956253,-13.2375,-38.137501,1915,778
28-Jun-2024 17:04:27.086,39.956253,-13.218751,-38.175003,1915,778
28-Jun-2024 17:04:27.186,40.03125,-13.25625,-38.193752,1915,778
28-Jun-2024 17:04:27.286,39.993752,-13.2375,-38.043751,1915,778
28-Jun-2024 17:04:27.386,40.050003,-13.275001,-38.025002,1915,778
28-Jun-2024 17:04:27.486,40.012501,-13.200001,-37.987503,1915,778
28-Jun-2024 17:04:27.586,39.993752,-13.275001,-38.043751,1915,778
28-Jun-2024 17:04:27.686,39.918751,-13.2375,-38.025002,1915,778
28-Jun-2024 17:04:27.786,39.825001,-13.106251,-37.950001,1915,778
28-Jun-2024 17:04:27.886,39.768753,-13.05,-37.800003,1915,778
28-Jun-2024 17:04:27.986,39.825001,-12.975,-37.6875,1915,778
28-Jun-2024 17:04:28.086,39.84375,-12.937501,-37.6875,1915,778
28-Jun-2024 17:04:28.186,39.693752,-12.937501,-37.6875,1915,778
28-Jun-2024 17:04:28.286,39.787502,-12.975,-37.668751,1915,778
28-Jun-2024 17:04:28.386,39.731251,-12.993751,-37.556252,1915,778
28-Jun-2024 17:04:28.486,39.862503,-13.05,-37.537502,1915,778
28-Jun-2024 17:04:28.586,39.900002,-13.14375,-37.518753,1915,778
28-Jun-2024 17:04:28.686,39.956253,-13.2375,-37.5,1915,778
28-Jun-2024 17:04:28.786,39.806252,-13.200001,-37.537502,1915,778
28-Jun-2024 17:04:28.886,39.862503,-13.125001,-37.725002,1915,778
28-Jun-2024 17:04:28.986,39.975002,-13.06875,-37.631252,1915,778
28-Jun-2024 17:04:29.086,39.900002,-12.95625,-37.612503,1915,778
28-Jun-2024 17:04:29.186,40.012501,-12.975,-37.650002,1915,778
28-Jun-2024 17:04:29.286,39.918751,-12.8625,-37.59375,1915,778
28-Jun-2024 17:04:29.386,39.956253,-12.750001,-37.612503,1915,778
28-Jun-2024 17:04:29.486,39.975002,-12.6,-37.575001,1915,778
28-Jun-2024 17:04:29.586,40.087502,-12.543751,-37.575001,1915,778
28-Jun-2024 17:04:29.686,39.975002,-12.58125,-37.368752,1915,778
28-Jun-2024 17:04:29.786,39.993752,-12.525001,-37.481251,1915,778
28-Jun-2024 17:04:29.886,40.106251,-12.50625,-37.631252,1915,778
28-Jun-2024 17:04:29.986,40.087502,-12.4125,-37.612503,1915,778
28-Jun-2024 17:04:30.086,40.087502,-12.39375,-37.706253,1915,778
