Cx,Cy,AMx,SMx,AMy,SMy
1915,778,31.2848439612338,1.30147586532652,-14.3885746467278,1.22710241162443
1920,1045,80.1033670959212,2.06658453466318,-2.24717664662007,6.57643087966751
1920,1330,-2.30575221546875,1.27874556798087,30.1648544475519,1.21324430627456
1710,1324,46.3541707009321,4.94347902672373,58.8926732758305,0.906719965618488
1513,1324,14.4072672375465,0.982734096694911,93.3081708217514,0.914474677497633
1246,1324,3.11288953463022,1.29024229001384,21.3459475731199,1.25280574081975
982,1324,56.4438796212493,1.27068164084509,79.9743051673535,1.25418293206194
846,1324,-14.496356055246,0.939152573788386,-25.2471083693322,0.898319290296675
782,1125,-41.9740330657386,1.29194944664663,56.1314927713482,1.2147432181365
722,1277,51.7767229896861,1.28827593255647,13.7738447041725,1.24204074548895
729,1376,-26.0240755251407,1.28509802047765,-63.5193851806279,1.68527048832078
1322,376,50.0636087747993,1.2812969119313,-88.3362380619064,1.24918217136148
1322,1595,14.2851537921772,1.35357684642688,-66.5003837218776,1.22930606368356
1516,2004,-32.2002041068503,1.27845351086547,-120.411836310429,1.2196140178917
1649,2004,16.064023461795,1.30168478303852,-56.9530455437821,1.25820148310669
1782,2004,49.0163409218748,1.28127437659074,-29.0445522116665,1.23706050984957
1915,2004,27.4724690253585,1.26902197023468,-40.1459118092879,1.23655636775454
2413,1900,42.4931540733039,1.2934289467918,-11.2877590195373,1.22196715303323
2836,1797,24.1019676349878,1.28622555353369,-68.8194403361515,1.24354006571964
2700,1797,-1.0048735782235,1.28861035725125,-69.6051066612658,1.21534559886922
2700,1626,28.0943454809199,0.939391495008903,59.7228487758319,0.897097803380059
2483,1626,-1.63038592629061,0.938846954158968,32.1056585935296,0.916172782457659
2483,1438,-3.92216443946031,0.956865447909489,86.0896285659562,0.899559458437485
2169,1377,-71.1101173918977,0.931992919444776,-61.3182023559242,0.905910488588768
2049,1373,11.2119119446875,1.29960107674406,34.7840109515105,1.24401699734486
2177,1053,-199.136273478711,0.9281047539514,-1.59657917416672,0.905533697547963
2177,778,-16.5022442486263,0.949023135371287,35.0194121944714,0.90906029162303
2312,827,30.5091344940332,0.951919239831101,15.6086301982913,0.90737676257566
2186,827,-47.722060039352,0.943816917456755,34.5719207482535,0.909170580385839
2312,1243,13.4492981793607,0.946743095616428,81.2876418717464,0.914407607897308
2186,1243,-34.1813580580074,1.29682757724599,-10.2033865793949,1.24592628696803
