Cx,Cy,Cz,AMx,SMx,AMy,SMy,AMz,SMz
1715,778,0,39.90168914,0.0992906574475365,-12.84468801,0.527929945314095,-37.83356416,0.192661795556108
1719,1050,0,48.05775207,0.19976365907263,-10.27443788,0.221636092153185,-55.46231495,0.272007088047032
1719,1323,0,5.569875,0.254516308193333,26.18231365,0.155370045084772,-28.15350121,0.293193060090684
1520,1323,0,-4.606875,0.204850624624605,45.95718906,0.184317116443144,-28.23600115,0.253297568150181
1310,1323,0,1.708125,0.246055530040754,32.91056409,0.136978769206086,-27.52893863,0.183504670820011
1050,1323,0,-11.49075037,0.174017582184463,37.34118917,0.132969213146841,-29.32781372,0.183989387407501
780,1323,0,-6.3264375,0.708090898240088,34.56731395,0.675416096695363,-13.26300048,4.3018987913338
644,1323,0,-59.83368997,0.776532107314639,-2.748,0.812864079267645,8.45193784,1.99281904065939
582,1125,0,-39.77906407,0.167331509447338,2.9758125,0.228481508476964,-7.071375,0.209148367846195
530,1270,0,46.12687661,0.146538986568156,9.02531296,0.487451704348462,-14.27381307,0.335143882975211
530,1380,0,10.90106295,0.193463787329375,-48.66187742,0.154605067984358,-14.83931312,0.308096924678664
1120,1380,0,52.74506495,0.136833393915638,8.16600026,0.432729651973567,-25.79662614,0.253615523047879
1120,1595,0,13.11243811,0.238931836292654,49.68769003,0.227003413005778,-16.22943822,0.452481082063622
1312,2000,0,-6.591375,0.227751796220838,-45.98831401,0.188167337723499,-8.48362533,0.481861543289915
1445,2000,0,-1.033125,0.361209497572203,-53.49618979,0.155707052401624,-8.77350039,0.34248925282886
1580,2000,0,32.30418904,0.245382063099873,-31.04006373,0.204329226355278,15.43031316,0.361404881106146
1700,2000,0,22.6194382,0.346263065802855,-35.61656405,0.229057189830924,-8.38987544,0.247995132039725
2212,1900,0,-9.17437535,0.183779347790964,-51.72525238,0.169157201365755,6.457875,0.379697659329104
2634,1796,0,0.8053125,0.355180561875352,35.21268911,0.158886763617064,9.45618793,0.161338858604188
2496,1796,0,-36.58706393,0.15086616073706,7.54856251,0.226809272480962,10.0291879,0.256089138460349
2282,1628,0,7.269375,0.236968604076957,49.64943996,0.129998232261635,-17.77893822,0.332852011849401
2282,1444,0,-37.35525154,0.217097074435314,-5.630625,0.231710229989567,8.80687545,0.286764158127569
1962,1385,0,-32.40543921,0.189315085944058,6.175125,0.16182596221081,37.14412663,0.345167464704421
1847,1375,0,-57.01575228,0.303433449272382,14.01112561,0.274840065848658,23.54212575,0.209439516746138
1966,1050,0,-33.27600154,0.134631376812213,9.1644379,0.220131370427875,-7.01175,0.210921948079896
1974,778,0,-41.0694392,0.193789505603687,6.7130625,0.313152217107824,-3.095625,0.370373928065825
2106,830,0,-59.24287731,0.267774022620525,14.36475055,0.263476020558496,4.4060625,0.336894395629874
1988,830,0,33.07500162,0.150661450704818,-2.650875,0.24898629708553,-21.76462592,0.255432196306047
2109,1241,0,40.27500149,0.262188724536065,1.3111875,0.336533285112537,7.1821875,0.176864559601922
1988,1241,0,-43.14262664,0.142940378600008,-5.314875,0.277588796194528,-4.159875,0.205327136430004
