Cx,Cy,Cz,AMx,SMx,AMy,SMy,AMz,SMz
1715,778,0,37.37400161,0.245196488866423,-25.64793871,0.190131134533022,-29.32931363,0.299678511619498
1719,1050,0,49.77768991,0.178011649519941,-30.65718875,0.448303203336497,-43.97493912,0.254379945631769
1719,1323,0,4.656,0.540877863880898,10.36106292,0.183500802440911,-27.27450131,0.136762469878127
1520,1323,0,-6.8428125,0.343552370875374,29.36006359,0.215068890849453,-27.04537619,0.242650108197288
1310,1323,0,-0.2105625,0.858459140070426,15.87131313,0.196207876815683,-28.08806376,0.210981400400634
1050,1323,0,-13.49287562,0.268846191778071,20.03437581,0.152383967906148,-29.71237618,0.247217719436903
780,1323,0,-8.19075034,0.577211390706068,16.66518824,0.199852239272733,-20.3698132,0.291497711638886
644,1323,0,-25.28493864,1.17498025528725,-48.16106436,1.66572269254273,-5.1061875,0.448728118927162
582,1125,0,-43.57293923,0.143661038720945,-18.83025072,0.213285257522232,-15.05737553,0.222090083603704
530,1270,0,42.80793905,0.153951110528234,-17.13600085,0.565363253032368,-17.10600071,0.134097382752598
530,1380,0,5.7590625,0.433458401786775,-71.69344078,0.23029397966256,-18.4511258,0.592075024743324
1120,1380,0,47.41837672,0.147685232230892,-14.32462561,0.43582460383834,-31.30818878,0.25934056430137
1120,1595,0,9.59568788,0.348819619960199,28.90650131,0.168568337595921,-31.05768864,0.247345269594178
1312,2000,0,-6.9204375,0.228602706552617,-62.96606492,0.146422687833814,-11.27081283,0.247141370582211
1445,2000,0,0.1138125,0.264350283607152,-70.52344055,0.177565902206225,-11.9448754,0.246420737303032
1580,2000,0,28.50337621,0.249137323868807,-50.67093976,0.176583105116224,-4.0755,0.446200181838519
1700,2000,0,21.18356324,0.279397953799985,-56.37018998,0.165168147303211,-25.95037618,0.523163603402162
2212,1900,0,-5.0390625,0.611794439399007,-71.75812821,0.192683929162504,8.23218787,0.218715530098565
2634,1796,0,4.521375,0.452981129197554,17.42531324,0.224816443098985,-22.93687578,0.405541195924122
2496,1796,0,-47.60550156,0.190094149563178,2.9739375,0.314864858727302,-5.027625,0.328023739786675
2496,1629,0,-0.074625,0.367442597557768,48.60075252,0.184327676693057,-7.63650004,0.293030857874568
2282,1628,0,-42.25650161,0.178751951168606,-6.63525,0.521996821655249,-20.80406332,0.466881638183087
2282,1444,0,-36.71531407,0.242799436110092,7.5658125,0.167121668220002,16.88943833,0.207029263724782
1962,1385,0,-77.73656548,0.240004403496197,16.11356334,0.890304241386943,19.06162588,0.451361324487261
1847,1375,0,-36.63562645,0.134747629572402,1.5015,0.292480088677379,3.153,0.348053842490968
1966,1050,0,-43.05225146,0.174741631224613,-0.5840625,0.142854796551349,-2.9056875,0.220189339366043
1974,778,0,-61.98018995,0.268609871715388,38.83312661,0.321147304009143,11.83556298,0.388450732617029
2106,830,0,32.03212642,0.13351092487642,0.201,0.204964658816188,-0.843375,0.23690085910662
1988,830,0,45.63862653,0.175886914666894,-2.769375,0.25903420930624,18.73875077,0.271948480805801
2109,1241,0,-43.74150177,0.167180856344976,-3.5548125,0.294361006229827,8.1315003,0.203762309165792
1988,1241,0,-40.51612653,0.133835708056705,-2.6835,0.305632261951278,-4.9738125,0.211089150032311
