Cx,Cy,Cz,AMx,SMx,AMy,SMy,AMz,SMz
1715,778,0,41.58639337,0.93976245935396,-8.87887007,0.988394141898135,-26.17486378,0.925853413944562
1719,1050,0,54.62847525,0.750161718621861,-11.49343302,1.0821760057081,-40.88327981,1.34774731124515
1719,1323,0,10.50397688,1.07373070268031,29.14398189,0.905542675282304,-23.03858759,0.912807394866536
1520,1323,0,-0.03073311,0.984119567748571,48.49384685,1.08499209940907,-24.10375216,0.984709018257603
1310,1323,0,5.91874693,1.41968383991251,34.41358567,0.935659038397821,-23.80091859,0.891868763213162
1050,1323,0,-7.19079784,1.13492047025171,38.1847629,0.943367033500357,-26.1193943,1.04689859570291
780,1323,0,-2.25476068,1.15644142458225,34.58224298,0.946387223146194,-16.64160339,1.0221071416124
644,1323,0,-62.65206522,1.45944297835209,-12.10884471,1.75200265010674,-8.87961965,1.17454391484197
582,1125,0,-40.42453192,0.870277332405992,-3.82889554,0.894803969833181,-10.68012998,0.925043028936241
530,1270,0,48.55156518,1.08218861761561,2.28549382,1.16581730324838,-14.52251809,1.05204937812882
530,1380,0,8.4973298,1.0859175741135,-55.71537784,1.01779933354864,-14.23842424,1.24509825968892
1120,1380,0,53.3849087,0.934213994430055,4.58822819,0.853352324448117,-27.14408105,0.922819315002511
1120,1595,0,16.0936546,1.06736061409654,48.27721591,1.01502388152125,-25.03174206,0.897346351261248
1312,2000,0,-5.13692658,1.00106522134933,-49.1767215,0.873277189317743,-7.23802185,1.09122526129662
1445,2000,0,0.52696037,0.937353192616926,-56.7438126,0.990093870210805,-7.78672031,1.04624265390327
1580,2000,0,34.40159224,1.0105094672674,-34.57324795,0.935195160757793,3.24796482,0.907737047463496
1700,2000,0,24.32862854,1.00422751394573,-39.74315635,0.856386665031754,-19.90980726,0.998990335060422
2212,1900,0,-3.33866496,1.09034596825833,-58.64551736,0.814794395932111,11.64110186,1.04212369759445
2634,1796,0,13.72495646,1.03265881237479,30.43552215,0.944050274095423,-22.84444429,1.04308279250687
2496,1796,0,-43.3299352,0.875095106259955,-2.11983486,1.00263025023678,-13.20324319,0.996095806001294
2496,1629,0,3.43236343,0.967144594908179,49.58299824,0.980847597703821,-4.4735412,1.03344884815442
2282,1628,0,-41.8052731,0.988504450929281,-8.71396069,1.08585773166082,-26.77078627,1.05804215446449
2282,1444,0,-36.42697901,0.983648010725314,4.47204195,0.939032843132261,14.3823452,0.998806202966139
1962,1385,0,-63.91437144,1.1977886170648,6.34976012,0.956523228237667,7.31672864,1.13794906092186
1847,1375,0,-34.10325627,0.981684240906781,-2.83644099,1.07753318895094,-37.1180992,1.12164678465734
1966,1050,0,-42.43642624,0.98074350322677,-2.5943241,0.88165477585107,-32.22403913,0.956677448651591
1974,778,0,-51.87224004,1.1170386029462,58.27297217,1.0440552780088,17.26151274,0.890760862584405
2106,830,0,29.60048104,1.06082125972632,-2.72625155,1.11836693714715,-10.02349094,1.03082036777456
1988,830,0,42.48739816,0.996703870842011,-4.06276696,1.07459435336632,20.75834091,0.852018322235841
2109,1241,0,-47.05688662,1.07500910616001,-11.48368835,0.994897375039777,5.5739364,1.06133611269803
1988,1241,0,-46.14988519,0.963544088863196,-11.49268341,0.993063316588667,-15.36205663,0.853786111643393
