Cx,Cy,AMx,SMx,AMy,SMy,AMz,SMz
1915,778,45.46087642,0.16613454369003,-2.037375,0.257366194272957,-14.83293814,0.160058105560249
1920,1045,56.19318995,0.196732114433722,-4.313625,0.233288314109387,-30.82068867,0.2747268382727
1920,1330,-0.8263125,0.148746060872213,30.07875138,0.215734018686769,-32.11350152,0.326450989733202
1710,1324,-11.29762549,2.16586628668432,51.3028149,1.95554528281145,-35.30531389,5.09859922512157
1513,1324,0.8600625,0.557456269942071,41.44031396,0.14310326234625,-42.96600162,0.300100392143332
1246,1324,-12.8293131,0.240691032026475,45.13518927,0.193305867382661,-46.58400151,0.192609920921598
982,1324,-3.9834375,0.269197236220278,31.33312628,0.177268165074757,15.69843811,0.190997133288651
846,1324,-51.3457525,0.478814719497073,-8.29800031,0.596267666227253,23.05987582,0.741212850896317
782,1125,-44.01600158,0.0904722413535718,-0.2071875,0.267158009403866,10.18762536,0.110917487009376
722,1277,46.71262675,0.163028464123515,4.112625,0.348099752226284,1.4206875,0.1332998744714
729,1376,11.97618811,0.628709778435361,-49.73737733,0.307311749609318,-2.08275,0.395596141055726
1322,376,52.06012734,0.152079006135415,6.8221875,0.308271102186341,-12.68718803,0.137870767058657
1322,1595,11.06400032,0.33051140953612,47.43037668,0.184671390011516,1.4925,0.310893598431127
1516,2004,-7.07775,0.441004470705024,-43.39312657,0.140628183334511,26.80837634,0.434131246511398
1649,2004,-0.3346875,0.365760949860946,-50.88918998,0.124376181177436,25.09893885,0.215386264106242
1782,2004,31.45518867,0.140233461836783,-29.51156379,0.202178641100634,38.30343922,0.249208541165162
1915,2004,21.61068809,0.257021575722409,-35.00175152,0.172241134797213,14.79600059,0.260262121599818
2413,1900,-1.8315,0.381672455957151,-50.8432525,0.148465680661943,14.35143811,0.299823451359444
2836,1797,-2.938125,0.214272354832476,37.33162654,0.158920063910195,-19.43493822,0.364809051906336
2700,1797,-36.28518912,0.227093966862083,9.59587537,0.862477611949361,-15.02981307,0.268718231117831
2700,1626,5.6233125,0.610159576509964,48.42018965,0.220924309249894,-17.26650078,0.336301265305488
2483,1626,-40.75556392,0.172992907755347,-6.65325,0.240497235856351,-41.70806411,0.16555818580642
2483,1438,-34.42012651,0.132357915903634,5.0926875,0.194397652874673,-12.96637558,0.18748897208039
2169,1377,-22.50993815,1.07754871696119,-4.1218125,0.971365804930684,-33.9097516,0.369509739590942
2049,1373,-29.43825125,0.273405901075593,2.4755625,0.227799113430113,-23.06606317,0.357316957548955
2177,1053,-36.94650173,0.134060354966313,-2.49975,0.229095925720686,-27.18937621,0.151237774238355
2177,778,-57.63450237,0.141940695206306,5.7969375,0.391230712202473,3.4396875,0.454564719051994
2312,827,32.99400167,0.130309964737699,-3.5341875,0.168455024176943,-32.48906419,0.20611002091301
2186,827,38.66868918,0.15080388857058,-0.2289375,0.178561466848763,-12.09187552,0.171939567432098
2312,1243,-38.9398143,0.198024591995795,-13.47900062,0.274615942175992,-2.4204375,0.229114758239581
2186,1243,-39.87018894,0.176497211340194,-8.77968794,0.224310402198248,-14.99306314,0.247482337088301
